example_id                             | status | run_time        |
-------------------------------------- | ------ | --------------- |
./spec/sidekiq_bulk_spec.rb[1:1:1]     | passed | 0.00013 seconds |
./spec/sidekiq_bulk_spec.rb[1:1:2]     | passed | 0.00045 seconds |
./spec/sidekiq_bulk_spec.rb[1:1:3]     | passed | 0.00036 seconds |
./spec/sidekiq_bulk_spec.rb[1:1:4]     | passed | 0.00034 seconds |
./spec/sidekiq_bulk_spec.rb[1:1:5]     | passed | 0.0004 seconds  |
./spec/sidekiq_bulk_spec.rb[1:1:6]     | passed | 0.00073 seconds |
./spec/sidekiq_bulk_spec.rb[1:1:7]     | passed | 0.00144 seconds |
./spec/sidekiq_bulk_spec.rb[1:1:8]     | passed | 0.00052 seconds |
./spec/sidekiq_bulk_spec.rb[1:1:9:1:1] | passed | 0.00223 seconds |
./spec/sidekiq_bulk_spec.rb[1:1:9:2:1] | passed | 0.00207 seconds |
./spec/sidekiq_bulk_spec.rb[1:1:9:3:1] | passed | 0.00761 seconds |
./spec/sidekiq_bulk_spec.rb[1:2:1]     | passed | 0.0008 seconds  |
./spec/sidekiq_bulk_spec.rb[1:2:2]     | passed | 0.00064 seconds |
./spec/sidekiq_bulk_spec.rb[1:2:3]     | passed | 0.0077 seconds  |
./spec/sidekiq_bulk_spec.rb[1:2:4]     | passed | 0.00043 seconds |
./spec/sidekiq_bulk_spec.rb[1:2:5]     | passed | 0.0024 seconds  |
./spec/sidekiq_bulk_spec.rb[1:2:6]     | passed | 0.21426 seconds |
./spec/sidekiq_bulk_spec.rb[1:3:1]     | passed | 0.00166 seconds |
./spec/sidekiq_bulk_spec.rb[1:3:2]     | passed | 0.00032 seconds |
